id	modified	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	individualCount	sex	lifeStage	eventDate	year	month	day	fieldNotes	countryCode	locality	verbatimCoordinates	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	pointRadiusSpatialFit	identifiedBy	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	nomenclaturalCode
RBINS:Beetles:21	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:21	21	1		Adult	1917-05-30	1917	5	30		BE	Dalhem	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708	Frennet L.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:22	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:22	22	3		Adult	1917-06-01	1917	6	1		BE	Dalhem	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:23	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:23	23	5		Adult	1919-05-30	1919	5	30		BE	Dalhem	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:24	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:24	24	3		Adult	1917-05-23	1917	5	23		BE	Bombaye	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:25	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:25	25	2	M + F	Adult	1930-06-07	1930	6	7		BE	Bombaye	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:26	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:26	26	1		Adult	1933-06-02	1933	6	2		BE	Bombaye	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708	Guilleaume F.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:27	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:27	27	1		Adult	1942-06-27	1942	6	27		BE	Bombaye	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:28	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:28	28	1		Adult	1942-07-08	1942	7	8		BE	Bombaye	31UFS92C	UTM 5km	+50.722	+5.727	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:29	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:29	29	2		Adult	1928-05-27	1928	5	27		BE	Julémont	31UFS91B	UTM 5km	+50.676	+5.795	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:30	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:30	30	2		Adult	1933-05-21	1933	5	21		BE	Remersdaal	31UGS02C	UTM 5km	+50.719	+5.869	WGS84	3536	1.5708	Muller J.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
