class,namespace,qualifiedName,name,type,format,constraints,comment
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/eventRemarks,eventRemarks,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/locationID,locationID,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/higherGeographyID,higherGeographyID,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/higherGeography,higherGeography,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/continent,continent,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/waterBody,waterBody,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/islandGroup,islandGroup,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/island,island,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/country,country,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/countryCode,countryCode,string,default,"{ ""minLength"": 2, ""maxLength"": 2} ",Recommended best practice is to use an ISO 3166-1-alpha-2 country code.
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/stateProvince,stateProvince,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/county,county,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/municipality,municipality,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/locality,locality,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimLocality,verbatimLocality,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,minimumElevationInMeters,integer,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,maximumElevationInMeters,integer,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimElevation,verbatimElevation,string,default,,
Location,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,minimumDepthInMeters,integer,default,,
